"API Access Token","API-Zugriffstoken"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Zugriffstoken für die /private-API der Instanz, mit oder ohne das Präfix ""secret-token:""."
"Amount","Betrag"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Wird angewendet, nachdem das Taler-Backend die Zahlung bestätigt hat. Der Status bleibt ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Wird angewendet, während der Kunde mit seiner Taler-Wallet bezahlt, bevor die Zahlung bestätigt ist."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Basis-URL Ihres Taler-Händler-Backends, z. B. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Erstattung nicht möglich: Taler-Bestelldaten fehlen."
"Debug Logging","Debug-Protokollierung"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Verbindung"
"GNU Taler - Payment Method","GNU Taler - Zahlungsart"
"Instance","Instanz"
"Log API requests and responses to var/log/taler.log.","API-Anfragen und -Antworten in var/log/taler.log protokollieren."
"Merchant Backend URL","URL des Händler-Backends"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID der Händler-Backend-Instanz, über die abgerechnet wird. Leer lassen für die Standardinstanz im Backend-Stammverzeichnis."
"No payment found for order.","Keine Zahlung für die Bestellung gefunden."
"Order #%s at %s","Bestellung Nr. %s bei %s"
"Order Status URL","Bestellstatus-URL"
"Order status set to ""%s"" per GNU Taler configuration.","Bestellstatus gemäß GNU-Taler-Konfiguration auf ""%s"" gesetzt."
"Paid (processing) order status","Bestellstatus bezahlt (processing)"
"Pay URI","Zahlungs-URI"
"Payment was not completed.","Die Zahlung wurde nicht abgeschlossen."
"Pending-payment order status","Bestellstatus ausstehende Zahlung"
"Refund Window (days)","Erstattungsfenster (Tage)"
"Refund for order #%s","Erstattung für Bestellung Nr. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Bei der Bestellerstellung gewährtes Erstattungsfenster. Nach Ablauf lehnt das Taler-Backend Erstattungen für die Bestellung ab."
"Refunded Total","Erstatteter Gesamtbetrag"
"Taler API error: %s","Taler-API-Fehler: %s"
"Taler Order ID","Taler-Bestellnummer"
"Taler connection error: %s","Taler-Verbindungsfehler: %s"
"Taler: failed to create order. Response: %s","Taler: Bestellung konnte nicht erstellt werden. Antwort: %s"
"The Taler refund deadline for this order has passed.","Die Taler-Erstattungsfrist für diese Bestellung ist abgelaufen."
"The configured URL does not point to a Taler merchant backend.","Die konfigurierte URL verweist nicht auf ein Taler-Händler-Backend."
"The order is unknown to the Taler merchant backend.","Die Bestellung ist dem Taler-Händler-Backend unbekannt."
"The refund amount exceeds the amount paid via Taler.","Der Erstattungsbetrag übersteigt den über Taler gezahlten Betrag."
"Unable to initialize payment. Please try again.","Zahlung konnte nicht initialisiert werden. Bitte versuchen Sie es erneut."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Ihre Zahlung wurde noch nicht bestätigt. Wenn Sie die Zahlung abgeschlossen haben, wird Ihre Bestellung automatisch verarbeitet, sobald das Taler-Backend sie bestätigt."
