"API Access Token","API-åtkomsttoken"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Åtkomsttoken för instansens /private-API, med eller utan prefixet ""secret-token:""."
"Amount","Belopp"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Tillämpas efter att Taler-backenden har bekräftat betalningen. Tillståndet förblir ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Tillämpas medan kunden betalar från sin Taler-plånbok, innan betalningen har bekräftats."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Bas-URL för din Taler-handlarbackend, t.ex. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Kan inte återbetala: Taler-orderdata saknas."
"Debug Logging","Felsökningslogg"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Anslutning"
"GNU Taler - Payment Method","GNU Taler - Betalningsmetod"
"Instance","Instans"
"Log API requests and responses to var/log/taler.log.","Logga API-förfrågningar och -svar i var/log/taler.log."
"Merchant Backend URL","URL för handlarbackend"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID för den handlarbackend-instans som ska faktureras. Lämna tomt för standardinstansen i backendens rot."
"No payment found for order.","Ingen betalning hittades för ordern."
"Order #%s at %s","Order nr %s hos %s"
"Order Status URL","URL för orderstatus"
"Order status set to ""%s"" per GNU Taler configuration.","Orderstatus satt till ""%s"" enligt GNU Taler-konfigurationen."
"Paid (processing) order status","Orderstatus för betald (processing)"
"Pay URI","Betalnings-URI"
"Payment was not completed.","Betalningen slutfördes inte."
"Pending-payment order status","Orderstatus för väntande betalning"
"Refund Window (days)","Återbetalningsfönster (dagar)"
"Refund for order #%s","Återbetalning för order nr %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Återbetalningsfönster som beviljas när ordern skapas. När det har löpt ut avvisar Taler-backenden återbetalningar för ordern."
"Refunded Total","Totalt återbetalat"
"Taler API error: %s","Taler-API-fel: %s"
"Taler Order ID","Taler-order-ID"
"Taler connection error: %s","Taler-anslutningsfel: %s"
"Taler: failed to create order. Response: %s","Taler: det gick inte att skapa ordern. Svar: %s"
"The Taler refund deadline for this order has passed.","Taler-återbetalningsfristen för denna order har löpt ut."
"The configured URL does not point to a Taler merchant backend.","Den konfigurerade URL:en pekar inte på en Taler-handlarbackend."
"The order is unknown to the Taler merchant backend.","Ordern är okänd för Taler-handlarbackenden."
"The refund amount exceeds the amount paid via Taler.","Återbetalningsbeloppet överstiger det belopp som betalats via Taler."
"Unable to initialize payment. Please try again.","Det gick inte att initiera betalningen. Försök igen."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Din betalning har ännu inte bekräftats. Om du har slutfört betalningen behandlas din order automatiskt så snart Taler-backenden bekräftar den."
