"API Access Token","Token dostępu API"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Token dostępu do API /private instancji, z prefiksem ""secret-token:"" lub bez niego."
"Amount","Kwota"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Stosowany po potwierdzeniu płatności przez backend Taler. Stan pozostaje ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Stosowany, gdy klient płaci ze swojego portfela Taler, przed potwierdzeniem płatności."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Bazowy adres URL backendu sprzedawcy Taler, np. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Nie można zwrócić środków: brak danych zamówienia Taler."
"Debug Logging","Logowanie debugowania"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Połączenie"
"GNU Taler - Payment Method","GNU Taler - Metoda płatności"
"Instance","Instancja"
"Log API requests and responses to var/log/taler.log.","Zapisuj żądania i odpowiedzi API w var/log/taler.log."
"Merchant Backend URL","Adres URL backendu sprzedawcy"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID instancji backendu sprzedawcy, na którą wystawiane są rachunki. Pozostaw puste dla instancji domyślnej w katalogu głównym backendu."
"No payment found for order.","Nie znaleziono płatności dla zamówienia."
"Order #%s at %s","Zamówienie nr %s w %s"
"Order Status URL","Adres URL statusu zamówienia"
"Order status set to ""%s"" per GNU Taler configuration.","Status zamówienia ustawiony na ""%s"" zgodnie z konfiguracją GNU Taler."
"Paid (processing) order status","Status zamówienia opłaconego (processing)"
"Pay URI","URI płatności"
"Payment was not completed.","Płatność nie została zrealizowana."
"Pending-payment order status","Status zamówienia oczekującego na płatność"
"Refund Window (days)","Okno zwrotu (dni)"
"Refund for order #%s","Zwrot za zamówienie nr %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Okno zwrotu przyznawane przy tworzeniu zamówienia. Po jego upływie backend Taler odrzuca zwroty dla zamówienia."
"Refunded Total","Łączna kwota zwrotów"
"Taler API error: %s","Błąd API Taler: %s"
"Taler Order ID","ID zamówienia Taler"
"Taler connection error: %s","Błąd połączenia z Taler: %s"
"Taler: failed to create order. Response: %s","Taler: nie udało się utworzyć zamówienia. Odpowiedź: %s"
"The Taler refund deadline for this order has passed.","Termin zwrotu Taler dla tego zamówienia minął."
"The configured URL does not point to a Taler merchant backend.","Skonfigurowany adres URL nie wskazuje na backend sprzedawcy Taler."
"The order is unknown to the Taler merchant backend.","Zamówienie jest nieznane backendowi sprzedawcy Taler."
"The refund amount exceeds the amount paid via Taler.","Kwota zwrotu przekracza kwotę zapłaconą przez Taler."
"Unable to initialize payment. Please try again.","Nie można zainicjować płatności. Spróbuj ponownie."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Twoja płatność nie została jeszcze potwierdzona. Jeśli dokonano płatności, zamówienie zostanie przetworzone automatycznie, gdy tylko backend Taler ją potwierdzi."
