"API Access Token","Διακριτικό πρόσβασης API"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Διακριτικό πρόσβασης για το /private API της παρουσίας, με ή χωρίς το πρόθεμα ""secret-token:""."
"Amount","Ποσό"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Εφαρμόζεται αφού το backend του Taler επιβεβαιώσει την πληρωμή. Η κατάσταση παραμένει ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Εφαρμόζεται όσο ο πελάτης πληρώνει από το πορτοφόλι Taler, πριν επιβεβαιωθεί η πληρωμή."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Βασικό URL του backend εμπόρου Taler, π.χ. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Αδυναμία επιστροφής χρημάτων: λείπουν τα δεδομένα της παραγγελίας Taler."
"Debug Logging","Καταγραφή εντοπισμού σφαλμάτων"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Σύνδεση"
"GNU Taler - Payment Method","GNU Taler - Μέθοδος πληρωμής"
"Instance","Παρουσία"
"Log API requests and responses to var/log/taler.log.","Καταγραφή αιτημάτων και αποκρίσεων του API στο var/log/taler.log."
"Merchant Backend URL","URL backend εμπόρου"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","Αναγνωριστικό της παρουσίας του backend εμπόρου για τη χρέωση. Αφήστε το κενό για την προεπιλεγμένη παρουσία στη ρίζα του backend."
"No payment found for order.","Δεν βρέθηκε πληρωμή για την παραγγελία."
"Order #%s at %s","Παραγγελία αρ. %s στο %s"
"Order Status URL","URL κατάστασης παραγγελίας"
"Order status set to ""%s"" per GNU Taler configuration.","Η κατάσταση της παραγγελίας ορίστηκε σε ""%s"" σύμφωνα με τη διαμόρφωση του GNU Taler."
"Paid (processing) order status","Κατάσταση πληρωμένης παραγγελίας (processing)"
"Pay URI","URI πληρωμής"
"Payment was not completed.","Η πληρωμή δεν ολοκληρώθηκε."
"Pending-payment order status","Κατάσταση παραγγελίας σε αναμονή πληρωμής"
"Refund Window (days)","Περίοδος επιστροφής χρημάτων (ημέρες)"
"Refund for order #%s","Επιστροφή χρημάτων για την παραγγελία αρ. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Περίοδος επιστροφής χρημάτων που παραχωρείται κατά τη δημιουργία της παραγγελίας. Μετά τη λήξη της, το backend του Taler απορρίπτει τις επιστροφές χρημάτων για την παραγγελία."
"Refunded Total","Σύνολο επιστροφών"
"Taler API error: %s","Σφάλμα API Taler: %s"
"Taler Order ID","Αναγνωριστικό παραγγελίας Taler"
"Taler connection error: %s","Σφάλμα σύνδεσης με το Taler: %s"
"Taler: failed to create order. Response: %s","Taler: αποτυχία δημιουργίας της παραγγελίας. Απόκριση: %s"
"The Taler refund deadline for this order has passed.","Η προθεσμία επιστροφής χρημάτων Taler για αυτήν την παραγγελία έχει παρέλθει."
"The configured URL does not point to a Taler merchant backend.","Το διαμορφωμένο URL δεν οδηγεί σε backend εμπόρου Taler."
"The order is unknown to the Taler merchant backend.","Η παραγγελία είναι άγνωστη στο backend εμπόρου Taler."
"The refund amount exceeds the amount paid via Taler.","Το ποσό της επιστροφής υπερβαίνει το ποσό που πληρώθηκε μέσω Taler."
"Unable to initialize payment. Please try again.","Δεν ήταν δυνατή η προετοιμασία της πληρωμής. Δοκιμάστε ξανά."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Η πληρωμή σας δεν έχει επιβεβαιωθεί ακόμη. Εάν ολοκληρώσατε την πληρωμή, η παραγγελία σας θα διεκπεραιωθεί αυτόματα μόλις την επιβεβαιώσει το backend του Taler."
