"API Access Token","Jeton d'accès API"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Jeton d'accès pour l'API /private de l'instance, avec ou sans le préfixe ""secret-token:""."
"Amount","Montant"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Appliqué après que le backend Taler a confirmé le paiement. L'état reste ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Appliqué pendant que le client paie depuis son portefeuille Taler, avant la confirmation du paiement."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","URL de base de votre backend marchand Taler, p. ex. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Remboursement impossible : données de commande Taler manquantes."
"Debug Logging","Journalisation de débogage"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Connexion"
"GNU Taler - Payment Method","GNU Taler - Moyen de paiement"
"Instance","Instance"
"Log API requests and responses to var/log/taler.log.","Journaliser les requêtes et réponses API dans var/log/taler.log."
"Merchant Backend URL","URL du backend marchand"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID de l'instance du backend marchand à facturer. Laisser vide pour l'instance par défaut à la racine du backend."
"No payment found for order.","Aucun paiement trouvé pour la commande."
"Order #%s at %s","Commande n° %s sur %s"
"Order Status URL","URL du statut de la commande"
"Order status set to ""%s"" per GNU Taler configuration.","Statut de la commande défini sur ""%s"" selon la configuration GNU Taler."
"Paid (processing) order status","Statut de commande payée (processing)"
"Pay URI","URI de paiement"
"Payment was not completed.","Le paiement n'a pas été effectué."
"Pending-payment order status","Statut de commande en attente de paiement"
"Refund Window (days)","Fenêtre de remboursement (jours)"
"Refund for order #%s","Remboursement de la commande n° %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Fenêtre de remboursement accordée à la création de la commande. Une fois expirée, le backend Taler refuse les remboursements pour la commande."
"Refunded Total","Total remboursé"
"Taler API error: %s","Erreur de l'API Taler : %s"
"Taler Order ID","ID de commande Taler"
"Taler connection error: %s","Erreur de connexion à Taler : %s"
"Taler: failed to create order. Response: %s","Taler : échec de la création de la commande. Réponse : %s"
"The Taler refund deadline for this order has passed.","Le délai de remboursement Taler de cette commande est dépassé."
"The configured URL does not point to a Taler merchant backend.","L'URL configurée ne pointe pas vers un backend marchand Taler."
"The order is unknown to the Taler merchant backend.","La commande est inconnue du backend marchand Taler."
"The refund amount exceeds the amount paid via Taler.","Le montant du remboursement dépasse le montant payé via Taler."
"Unable to initialize payment. Please try again.","Impossible d'initialiser le paiement. Veuillez réessayer."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Votre paiement n'a pas encore été confirmé. Si vous avez effectué le paiement, votre commande sera traitée automatiquement dès que le backend Taler l'aura confirmée."
